244	271
240	270
229	272
221	276
213	278
206	284
201	285
199	289
194	292
192	296
189	300
189	300
186	305
180	314
180	316
178	326
175	335
175	337
175	344
178	363
181	366
184	375
187	380
191	385
194	391
198	394
203	399
207	402
209	404
214	406
219	408
223	411
227	412
231	413
236	413
240	414
249	412
255	412
258	412
265	412
270	410
279	406
285	401
289	398
292	395
298	389
303	382
305	377
307	371
310	368
310	363
312	357
313	352
312	347
313	336
310	320
308	312
304	305
299	302
296	295
293	292
289	286
280	282
277	279
270	277
264	272
257	273
252	272
244	272
