686	267
681	267
677	266
673	266
669	268
665	270
661	271
656	273
643	282
641	285
636	287
635	291
628	299
625	304
623	309
621	315
621	320
619	331
620	338
619	343
620	348
621	353
623	360
623	364
624	368
626	373
629	378
631	383
635	385
637	389
640	391
644	396
648	399
654	401
659	404
670	410
675	412
680	412
686	411
692	410
697	409
702	408
706	408
705	407
708	407
709	406
711	403
715	403
720	401
724	397
728	394
731	393
733	388
737	386
741	382
745	379
745	371
748	367
750	363
752	356
754	352
754	345
754	339
755	328
754	322
754	317
752	313
749	308
748	303
742	296
741	293
737	290
732	286
731	283
727	280
723	279
720	276
719	276
717	273
712	272
707	270
707	270
703	267
700	266
697	266
693	266
688	266
685	266
