154	177
150	178
149	177
145	177
142	177
139	179
139	179
137	178
135	181
131	181
127	185
126	186
122	190
120	194
119	197
117	199
115	202
112	211
112	214
112	215
112	217
112	221
112	225
112	231
114	234
114	237
117	242
120	245
122	248
122	250
123	253
128	256
131	260
137	259
136	262
143	263
151	264
154	264
159	264
162	266
166	266
169	262
170	261
172	261
172	261
174	261
177	260
180	255
186	253
188	253
189	250
191	247
191	247
194	243
196	239
196	233
198	231
199	226
199	221
199	217
199	217
198	211
197	207
197	206
195	202
192	198
189	195
187	192
180	184
180	184
180	184
180	184
177	184
171	180
169	180
167	179
165	178
162	178
158	177
155	176
